1,2,3,4,5,6,7
w司南喃喃喃,啊没想到这首不太成熟的作品能够得到这么多人的喜欢~我会继续加油哒~,2018年11月12日,19.2万,烟雨行舟（原唱：伦桑）,司南,111
Cetaithier,你是否还记得 那年那月 天色渐晚秋日 夕阳 慵懒 温暖 细雨 微风 我淋着雨站在桥上 眺望望着桥下风光 你撑着油纸伞从桥下悠悠走过 抬起头 正好对上我四处张望的目光,2018年11月30日,69193,烟雨行舟（原唱：伦桑）,司南,111
是水水哇,很干净很好听的声音，给人的画面是初生情意的少女通过歌声诉说心意，有种闲适的惬意，很美好的感觉，宝藏歌曲爱了爱了,2019年7月10日,67178,烟雨行舟（原唱：伦桑）,司南,111
Kikk酱,我见众生皆草木 唯你是青山,2019年7月23日,44796,烟雨行舟（原唱：伦桑）,司南,111
小张减肥肥,“这雨…下多久了？”“回小主，断断续续下了三日了。”“三日啊……那离他回来还有多少日？”“这个…奴婢…奴婢不知……”“唉……罢了，扶我回屋吧。这院子里的花儿，看了心烦。”,2019年9月2日,43708,烟雨行舟（原唱：伦桑）,司南,111
w司南喃喃喃,听歌不评论，司南两行泪,2019年9月8日,32211,烟雨行舟（原唱：伦桑）,司南,111
清颜似墨染,墨染，去年就是因为这个名字喜欢上他的,2019年9月4日,30546,烟雨行舟（原唱：伦桑）,司南,111
也没和谁吹过海风,北堂墨染他是我见过最无私的王爷 不争皇位 不争心爱女人 不争天下苍生 他要的只不过是 他爱的那个女人 能够平安顺遂 遇难成祥。,2019年9月4日,26626,烟雨行舟（原唱：伦桑）,司南,111
樱笋月一-,我野蛮生长没能成为自己的月亮能遇见你是银河赠我的糖天上有行云 人在芸阁里欸乃一声山水绿他们说青山是否妩媚 还须看青山是谁可我摇头我见众生皆草木 唯你灼灼是青山,2019年9月4日,17074,烟雨行舟（原唱：伦桑）,司南,111
TfairyF,有的人刷刷抖音就进了网易云[多多捂脸],2019年9月2日,11971,烟雨行舟（原唱：伦桑）,司南,111
w司南喃喃喃,新版本和旧版本为伦桑《烟雨行舟》版权代理商正版授权给鲸鱼向海公司发布的翻唱版本，由于有正版授权，为了区别于一般cover版本，故无需cover标识。付费下载后的收益均归鲸鱼向海公司，与演唱者无关。特此声明，望周知。,2019年9月25日,10956,烟雨行舟（原唱：伦桑）,司南,111
咕咕咕咕孤寡,有人会做双声道吗？把伦桑和司南的合到一起的那种！,2019年7月17日,10659,烟雨行舟（原唱：伦桑）,司南,111
逐风转,“怎么雨还不停？”“少爷，这几天是梅雨季，估计短时间雨不会停了。”“那我若是回去晚了，娘会担心的。”“嘿嘿，少爷，你想的是院里的那位美娇娘而不是老夫人吧？”“……多嘴。”,2019年9月8日,9337,烟雨行舟（原唱：伦桑）,司南,111
有钱哥哥的情妹妹,如若真有歌里的江南，那里定然是有你的地方,2019年9月2日,8963,烟雨行舟（原唱：伦桑）,司南,111
千人皆醉我独醒_ECuM,又何妨，来生不做读书郎，定不再将你相忘，圣旨难违，来世与你归故乡。,2020年9月6日,8328,烟雨行舟（原唱：伦桑）,司南,111
竹棘sumi,「今でもあなたは私の光。」如今你依旧是我的光。,2018年2月12日,73.4万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
藤井栀,为什么中堂医生经常躺在解剖台上休息，因为那是他的爱人最后完整存在的地方。,2018年2月12日,71.8万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
Quentins07,特别喜欢日剧的一个原因 大概就是它帮你认清生活的真相之后 依然教会你如何热爱生活,2018年2月21日,60.4万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
禁止吃西瓜,ep4。这首歌响起的时候是夜里绽放的烟花。是父亲拼命赶回家的身影。是依偎在窗边等待家人的亲人。是无良社长打翻的幸福蛋糕。是我哇的一声哭出来,2018年2月12日,42.5万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
二月水幺,即便被压榨拿着微薄的工资超负荷劳动，在最后望向烟花和自己的妻子儿女时，也会因为“努力守护着自己的家人”而感到幸福满足。漫天绚烂的烟花，在头顶炸开成虚幻和遥远的美丽，社长家中狂欢不止，打翻的幸福蛋糕，倒下的疲惫身躯，八爷lemon的神插入，直戳泪点,2018年2月12日,34万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
櫻井甜-,「 将生活带给你的如柠檬的酸楚 酿成犹如柠檬汽水味般的甘甜 」,2018年2月12日,27万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
草木枝枝,每次「非自然死亡」最后，八爷的lemon响起，或感动，或热血，看三澄眼睛里亮晶晶的，我泪腺也会跟着很发达。还有中堂系真的好颓啊，但软下来说帮帮他的时候又好可爱。雪花飘落了，你有找到照亮你的人吗。,2018年2月12日,20.3万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
圆滚的蜗牛,Lemon之于unnatural 就如同Silly之于为了N吧,2018年2月12日,12万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
二月的杜鹃鸟,"听着这首曲子，感觉就像穿过一条幽暗且漫长的隧道，暗想着前方究竟是救赎自我的光芒，还是玩弄人心的夜灯。但无论是怎样的末尾，我依旧怀揣着""期盼着幸福""这样的心灵，当全曲的高潮浮起，那道光芒就在隧道的前端，我睁开了双眸，张开了双臂，淹没在了光芒之中。",2018年2月12日,11.9万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
CH-晨晨,你是满船的烟波，你是海底的星河。,2018年2月12日,11.5万,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
1039-79,中堂和三澄完全是两个世界的人吧，ep5的时候，三澄如释重负地说,2018年2月12日,90108,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
居家小火龙,三澄的人格魅力恰恰在她的基调是苦涩的，一个懂得规则的人的坚持是尤为可贵的。哪怕平和的性格也不再乏味，相反可以想象她在职业生涯中做出过多少的让步，想象到一次次绝望到无以复加但是生活还是要继续下去的时刻。把酸涩的柠檬变成甜甜的柠檬汽水，最后表白一下八爷！真的超级喜欢,2018年2月12日,76543,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
兔子啊兔子honey,因为lemon去追了unnatural 半夜一个人熬夜看哭 现在终于翻唱了这首歌 虽然不及原唱 但还是很喜欢这首歌啊。,2018年5月1日,68525,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
惊鸿一瞥便乱我心曲,“我以前是消防员。是我教他绑绳子的。三郎他还记得呢。”,2018年3月3日,60742,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
cube立方体,最初知道八爷还是各种v曲，现在变化真的好大。八爷被越来越多的人喜欢，隐隐有种珍藏心底的东西被发现的难受，新歌这么快就破千了这家伙真是太美好了❤️❤️,2018年2月12日,49954,Lemon（电视剧《非自然死亡》主题曲:ドラマ「アンナチュラル」主題歌）,米津玄師,111
我叫安朕宇,大家好，感谢网易云音乐，感谢每一个朋友的留言（我默默的每一条都看了）原创这一路走来不容易，我的第一张EP《尘土》上线了，我没有多大的理想和抱负！其实我们每个人既渺小又伟大，爱别人，爱自己，每一天都活的精彩些！！！,2018年7月13日,33877,尘土,安朕宇,111
Im大禹,这原创够到位，歌词 曲 唱 包括后期制作绝对一流没得挑，顶起👊🏻👊🏻👊🏻,2018年7月13日,15384,尘土,安朕宇,111
总有些东西不会随风而逝,圣经中说“来自尘土，应归于尘土”。这似乎逼近了生命的真相，那便是广阔自然、生生循环、和轮回的永恒。在更广泛的意义上，它似乎就象征着空间、时光与持续。,2018年7月13日,12212,尘土,安朕宇,111
风吹而过的你,小众音乐，总是给我一种特别的感觉。过去受到的挫折都像尘土一般，就连过去的我们也如同尘土一样，我最理想的状态就是高傲不是自大的活下去，安安稳稳的度过我的大学，平平淡淡的过着自己最想要的生活,2018年7月15日,5953,尘土,安朕宇,111
小孩喜欢糖,“能做一辈子的朋友就别做几个月的情侣”,2020年9月19日,4768,尘土,安朕宇,111
伊筱妹妹,十八岁以后的日子像开了二倍速,2020年9月3日,4432,尘土,安朕宇,111
老实人阿禹,我想啊，我们之间的差别大概就是,2018年7月15日,4272,尘土,安朕宇,111
ZYF凡z,我像一粒尘土，总是在不知名的角落默默看着你的身影，你却看不到我，希望有天我能变成沙尘暴，让你看到我的存在,2018年7月15日,4223,尘土,安朕宇,111
顾Ti-,感谢网抑云没有访客记录,2020年10月14日,4106,尘土,安朕宇,111
寻亦o,明天就准备退学了，祝16岁的我踏入社会安安稳稳吧.,2020年11月9日,3622,尘土,安朕宇,111
很高兴遇见你啊啊,男生真的会喜欢上每天晚上陪他聊天的女生吗？,2020年10月6日,3588,尘土,安朕宇,111
一帛一粟秋,想把你带入我多彩的世界，却惊醒你根本就不屑一顾这世界的每一粒尘土。,2018年7月13日,3506,尘土,安朕宇,111
醒时笑1804,想娶石倩文，娶到了告诉大家,2020年9月8日,3004,尘土,安朕宇,111
帮我关一下月亮好吧,正因为我的身上流着的是中国人民解放军的血液，所以一旦穿上制服就不能辜负自己的使命，即使犹如一粒尘土一般只是一个普普通通的哨兵，也未曾在平凡中泯灭了自己的初心，所以我只是勇敢的前行。我已为祖国付出了1862个小时，今后的日子还要继续为祖国发光发热。写于2020年9月20日下哨后的15分钟,2020年9月12日,2437,尘土,安朕宇,111
-德H,⠀⠀⠀⠀⠀⠀ ⠀我希望正在读这句话的人永远开心⠀⠀⠀⠀,2021年7月23日,2398,尘土,安朕宇,111
易慕依,要的是,2020年6月26日,33965,中间人,Ice Paper,111
我可是夏日限定,“少数的人知道该怎么走”这次疫情又停课，我要弯道超车,2021年1月6日,26383,中间人,Ice Paper,111
