
县爱卫办开展冬季病媒生物防制活动,2022-11-15,http://www.cnmq.com.cn/dfbm/bmdt/30286.html
民权县倡导文明健康绿色环保生活方式再发力,2022-11-11,http://www.cnmq.com.cn/dfbm/bmdt/30205.html
民权县爱卫办扎实开展秋季病媒生物防制工作,2022-09-28,http://www.cnmq.com.cn/dfbm/bmdt/29388.html
县爱卫办开展健康教育进校园活动,2022-09-19,http://www.cnmq.com.cn/dfbm/bmdt/29154.html
民权县爱卫办开展病媒生物防制助力疫情防控,2022-08-17,http://www.cnmq.com.cn/dfbm/bmdt/28642.html
民权县爱卫办持续开展病媒生物集中消杀活动,2022-07-19,http://www.cnmq.com.cn/dfbm/bmdt/28000.html
民权县爱卫办指导各乡镇创建卫生（健康）乡镇工作,2022-07-13,http://www.cnmq.com.cn/dfbm/bmdt/27896.html
县爱卫办持续加强病媒生物防制工作,2022-06-20,http://www.cnmq.com.cn/dfbm/bmdt/27297.html
县爱卫办组织召开创建卫生（健康）乡镇业务培训会,2022-05-30,http://www.cnmq.com.cn/dfbm/bmdt/26814.html
县爱卫办持续开展城区病媒生物防制工作,2022-04-29,http://www.cnmq.com.cn/dfbm/bmdt/26192.html
县爱卫办开展第34个爱国卫生月宣传活动,2022-04-23,http://www.cnmq.com.cn/dfbm/bmdt/26086.html
县爱卫办组织开展城区病媒生物防制活动,2022-04-18,http://www.cnmq.com.cn/dfbm/bmdt/25965.html
贯彻落实县委经济工作会议暨全县三级干部大会精神访谈--爱卫办,2022-03-15,http://www.cnmq.com.cn/video/jbft/25279.html
县爱卫办走访慰问帮扶企业职工,2022-01-29,http://www.cnmq.com.cn/dfbm/bmdt/24361.html
创文创卫一把手访谈——民权县爱卫办,2021-11-25,http://www.cnmq.com.cn/video/jbft/22670.html
创文创卫一把手访谈(爱卫办）,2021-11-15,http://www.cnmq.com.cn/video/22356.html
市爱卫办对我县申报的省、市级卫生乡镇进行技术评估,2021-10-15,http://www.cnmq.com.cn/dfbm/bmdt/21539.html
我县顺利通过病媒生物密度控制水平国家C级达标考核评估,2021-09-16,http://www.cnmq.com.cn/dfbm/bmdt/20985.html
县爱卫办学习贯彻省政府《关于深入开展爱国卫生运动的实施意见》,2021-09-08,http://www.cnmq.com.cn/dfbm/bmdt/20839.html
县爱卫办驻村干部开展疫情防控大排查,2021-08-12,http://www.cnmq.com.cn/dfbm/bmdt/20163.html
